game_id,away_starter,home_starter,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs,home_sp_era_actual,home_sp_fip_actual,home_sp_war_actual,home_sp_whip_actual,home_sp_gs
20170802SKWO0,문승원,최원태,5.33,6.03,1.95,1.51,29.0,4.46,4.57,3.65,1.31,25.0
20170803HHNC0,김재영,구창모,4.54,5.09,1.01,1.41,15.0,5.32,4.99,1.06,1.63,25.0
20170803LTLG0,김원중,차우찬,5.7,5.53,1.72,1.73,24.0,3.43,4.12,5.1,1.19,28.0
20170803OBSS0,유희관,안성무,4.53,4.9,3.31,1.43,29.0,7.71,7.46,-0.03,2.06,3.0
20170803KTHT0,류희운,양현종,7.67,7.58,-0.4,1.88,14.0,3.44,3.93,5.45,1.31,31.0
20170803SKWO0,윤희상,정대현,6.0,5.2,1.12,1.52,22.0,5.54,6.08,0.1,1.46,2.0
20170804HTHH0,헥터,비야누에바,3.48,4.35,6.45,1.32,30.0,4.18,4.74,2.62,1.17,20.0
20170804SSNC0,우규민,이재학,5.21,4.94,1.0,1.38,25.0,5.67,5.36,0.7,1.54,23.0
20170804OBLG0,보우덴,임찬규,4.64,6.35,1.61,1.47,17.0,4.63,4.78,2.53,1.43,26.0
20170804WOLT0,김성민,린드블럼,4.74,5.17,1.39,1.59,15.0,3.72,4.08,2.45,1.16,12.0
20170804SKKT0,다이아몬드,로치,4.42,5.1,3.25,1.47,24.0,4.69,5.38,2.35,1.58,28.0
20170805HTHH0,팻딘,김범수,4.14,4.61,4.36,1.42,29.0,8.71,8.3,-0.46,2.16,5.0
20170805SSNC0,백정현,맨쉽,4.38,4.47,2.5,1.45,14.0,3.67,4.14,3.37,1.29,21.0
20170805OBLG0,장원준,소사,3.14,4.38,5.65,1.24,29.0,3.88,3.53,4.8,1.22,29.0
20170805WOLT0,브리검,레일리,4.38,4.75,3.23,1.33,24.0,3.8,4.34,5.55,1.3,30.0
20170805SKKT0,켈리,피어밴드,3.6,3.6,5.35,1.31,30.0,3.04,4.37,4.92,1.15,26.0
20170806SSNC0,윤성환,장현식,4.28,4.77,4.8,1.25,28.0,5.29,5.21,1.61,1.53,22.0
20170806OBLG0,함덕주,김대현,3.67,3.88,3.46,1.4,24.0,5.36,5.74,1.13,1.35,16.0
20170806WOLT0,밴헤켄,송승준,3.77,3.8,3.6,1.32,24.0,4.21,4.84,3.45,1.33,22.0
20170806SKKT0,박종훈,고영표,4.1,5.44,3.72,1.36,28.0,5.08,3.75,2.58,1.31,24.0
20170808HHOB0,안영명,니퍼트,5.75,5.16,0.46,1.72,16.0,4.06,4.79,4.07,1.4,30.0
20170808NCSK0,강윤구,문승원,4.45,6.4,0.44,1.48,5.0,5.33,6.03,1.95,1.51,29.0
20170808KTLT0,김사율,박세웅,7.27,5.39,0.01,1.7,5.0,3.68,5.13,5.72,1.32,28.0
20170808LGSS0,류제국,정인욱,5.35,4.82,1.27,1.48,25.0,9.84,7.19,-0.18,1.88,7.0
20170808WOHT0,최원태,임기영,4.46,4.57,3.65,1.31,25.0,3.65,4.17,3.25,1.32,19.0
20170809HHOB0,오간도,유희관,3.93,4.55,2.65,1.32,19.0,4.53,4.9,3.31,1.43,29.0
20170809NCSK0,구창모,윤희상,5.32,4.99,1.06,1.63,25.0,6.0,5.2,1.12,1.52,22.0
20170809KTLT0,류희운,김원중,7.67,7.58,-0.4,1.88,14.0,5.7,5.53,1.72,1.73,24.0
20170809LGSS0,차우찬,김동호,3.43,4.12,5.1,1.19,28.0,6.75,5.75,0.1,2.03,1.0
20170809WOHT0,윤영삼,양현종,5.62,4.87,0.1,1.69,2.0,3.44,3.93,5.45,1.31,31.0
20170810LTNC0,린드블럼,이재학,3.72,4.08,2.45,1.16,12.0,5.67,5.36,0.7,1.54,23.0
20170810SKLG0,다이아몬드,임찬규,4.42,5.1,3.25,1.47,24.0,4.63,4.78,2.53,1.43,26.0
20170810OBWO0,보우덴,김성민,4.64,6.35,1.61,1.47,17.0,4.74,5.17,1.39,1.59,15.0
20170811LTNC0,레일리,맨쉽,3.8,4.34,5.55,1.3,30.0,3.67,4.14,3.37,1.29,21.0
20170811SSHH0,우규민,비야누에바,5.21,4.94,1.0,1.38,25.0,4.18,4.74,2.62,1.17,20.0
20170811SKLG0,켈리,소사,3.6,3.6,5.35,1.31,30.0,3.88,3.53,4.8,1.22,29.0
