game_id,away_starter,home_starter,season,home_team,away_team,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs
20010518HDOB0,박장희,ID_89621,2001,두산,Heroes,5.53,5.57,0.59,1.45,12.0
20010519LGHT0,김상태,ID_71649,2001,KIA,LG,4.91,6.1,0.35,1.77,3.0
20010519LTSK0,박지철,ID_93217,2001,SSG,롯데,4.03,4.14,4.02,1.44,26.0
20010519SSHH0,김진웅,ID_70755,2001,한화,삼성,3.96,3.78,3.79,1.37,14.0
20010519HDOB0,마일영,ID_98259,2001,두산,Heroes,3.96,4.29,2.93,1.56,22.0
20010520LGHT0,장문석,ID_95601,2001,KIA,LG,7.74,6.53,-0.33,1.98,10.0
20010520LTSK0,강민영,ID_70820,2001,SSG,롯데,6.32,5.01,0.08,1.66,4.0
20010520SSHH0,박동희,ID_89770,2001,한화,삼성,6.15,6.46,-0.06,1.68,5.0
20010520HDOB0,테일러,ID_94215,2001,두산,Heroes,4.75,5.24,2.14,1.71,27.0
20010522HTLT0,유동훈,ID_95459,2001,롯데,KIA,7.5,4.94,-0.53,1.71,9.0
20010522HTLT0,유동훈,ID_95459,2001,롯데,KIA,0.0,3.54,-0.02,4.5,0.0
20010522SSHD0,임창용,ID_98330,2001,Heroes,삼성,3.9,4.52,4.68,1.25,29.0
20010523OBSK1,최용호,ID_71829,2001,SSG,두산,4.98,4.74,0.8,1.54,18.0
20010523HHLG1,누네스,ID_70143,2001,LG,한화,5.52,3.47,0.06,1.53,3.0
20010523HHLG2,한용덕,ID_71123,2001,LG,한화,3.56,3.44,3.92,1.27,23.0
20010523HTLT0,오철민,ID_97571,2001,롯데,KIA,4.78,5.02,0.85,1.44,11.0
20010523SSHD0,배영수,ID_94364,2001,Heroes,삼성,3.77,4.63,4.2,1.52,25.0
20010523OBSK2,최경훈,ID_91848,2001,SSG,두산,5.46,6.28,0.14,1.96,3.0
20010524OBSK0,이혜천,ID_91833,2001,SSG,두산,3.62,4.68,2.68,1.58,10.0
20010524HHLG0,이상목,ID_71118,2001,LG,한화,4.9,4.11,0.69,1.52,12.0
20010524HTLT0,최상덕,ID_99548,2001,롯데,KIA,4.07,4.4,2.41,1.25,18.0
20010524HTLT0,최상덕,ID_99548,2001,롯데,KIA,4.76,4.98,1.28,1.41,11.0
20010524SSHD0,갈베스,ID_99360,2001,Heroes,삼성,2.47,3.55,4.28,1.15,15.0
20010525HTSS0,레스,ID_90532,2001,삼성,KIA,3.82,5.13,1.84,1.57,13.0
20010525HTSS0,레스,ID_90532,2001,삼성,KIA,4.85,5.37,1.24,1.36,11.0
20010525SKLG0,이승호,ID_92302,2001,LG,SSG,3.55,4.78,5.37,1.43,33.0
20010525OBLT0,한태균,ID_94545,2001,롯데,두산,8.21,5.26,-0.73,2.04,8.0
20010525HHHD0,송진우,ID_97133,2001,Heroes,한화,3.84,4.44,3.6,1.44,24.0
20010526HTSS0,이원식,ID_99423,2001,삼성,KIA,4.59,5.58,0.92,1.35,9.0
20010526HTSS0,이원식,ID_99423,2001,삼성,KIA,7.06,6.41,-0.12,1.94,5.0
20010526SKLG0,박상근,ID_97111,2001,LG,SSG,7.22,6.27,-0.09,1.74,2.0
20010526OBLT0,조계현,ID_98521,2001,롯데,두산,5.28,4.72,0.84,1.52,18.0
20010526HHHD0,조규수,ID_71339,2001,Heroes,한화,4.24,5.03,2.8,1.63,21.0
20010527HTSS0,유동훈,ID_95657,2001,삼성,KIA,7.5,4.94,-0.53,1.71,9.0
20010527HTSS0,유동훈,ID_95657,2001,삼성,KIA,0.0,3.54,-0.02,4.5,0.0
20010527SKLG0,에르난데스,ID_97126,2001,LG,SSG,3.89,4.08,5.4,1.42,34.0
20010527OBLT0,콜,ID_95459,2001,롯데,두산,5.04,3.98,0.82,1.43,20.0
20010527HHHD0,박정진,ID_98330,2001,Heroes,한화,4.74,4.45,0.8,1.47,6.0
20010529HDSK0,전준호,ID_91848,2001,SSG,Heroes,5.09,4.6,1.79,1.51,25.0
