year,team,average_batter_age,runs_per_game,games,plate_appearances,at_bats,runs,hits,doubles,triples,homeruns,RBI,stolen_bases,caught_stealing,bases_on_balls,strikeouts,batting_average,OBP,SLG,OPS,total_bases,GDP,HBP,sacrifice_hits,sacrifice_flies,IBB
2003,Hanwha Eagles,26.9,4.34,133,5198,4458,577,1131,218,20,121,521,78.0,57.0,542,887,0.254,0.343,0.393,0.736,1752,89,75,102,21,22.0
2003,Doosan Bears,29.1,4.23,133,5165,4536,563,1251,205,21,90,541,58.0,36.0,452,706,0.276,0.346,0.39,0.736,1768,121,62,63,52,17.0
2003,LG Twins,27.8,3.83,133,4963,4375,509,1088,188,29,106,485,135.0,62.0,404,781,0.249,0.32,0.378,0.697,1652,90,70,74,40,11.0
2003,Lotte Giants,27.2,3.69,133,4987,4465,491,1143,232,18,73,451,84.0,66.0,338,848,0.256,0.317,0.365,0.682,1630,75,73,83,28,11.0
2002,Samsung Lions,27.8,5.84,133,5303,4648,777,1321,266,16,191,731,47.0,29.0,469,804,0.284,0.36,0.472,0.831,2192,116,97,55,34,26.0
2002,Hyundai Unicorns,27.8,4.95,133,5140,4444,658,1160,191,25,173,643,79.0,50.0,464,945,0.261,0.342,0.432,0.774,1920,82,99,99,34,26.0
2002,Kia Tigers,26.6,4.83,133,5200,4575,643,1230,220,14,120,611,155.0,39.0,454,914,0.269,0.344,0.402,0.746,1838,107,91,45,35,32.0
2002,SK Wyverns,27.6,4.65,133,5090,4475,618,1207,204,27,158,587,80.0,55.0,385,815,0.27,0.339,0.433,0.772,1939,94,100,96,34,15.0
2002,Hanwha Eagles,28.2,4.53,133,5060,4491,603,1148,206,10,170,570,94.0,65.0,446,1064,0.256,0.328,0.42,0.748,1884,106,49,52,22,22.0
2002,Doosan Bears,28.9,4.41,133,5083,4498,587,1173,174,21,130,556,106.0,42.0,434,794,0.261,0.331,0.396,0.726,1779,107,58,47,46,17.0
2002,LG Twins,27.7,4.38,133,5120,4492,583,1173,212,22,100,541,140.0,63.0,412,951,0.261,0.332,0.385,0.717,1729,91,86,93,37,29.0
2002,Lotte Giants,27.0,3.48,133,4985,4512,463,1105,206,19,85,443,76.0,63.0,324,978,0.245,0.305,0.356,0.661,1604,75,78,49,22,14.0
2001,Samsung Lions,27.4,5.56,133,5279,4553,739,1262,244,21,162,695,73.0,44.0,520,814,0.277,0.36,0.447,0.807,2034,111,95,69,42,27.0
2001,Doosan Bears,28.2,5.5,133,5303,4583,732,1266,221,26,130,688,132.0,34.0,560,697,0.276,0.359,0.421,0.78,1929,116,60,54,46,27.0
2001,Lotte Giants,28.3,5.4,133,5308,4521,718,1265,247,24,121,671,106.0,53.0,585,817,0.28,0.366,0.425,0.791,1923,89,60,82,60,39.0
2001,Hyundai Unicorns,28.3,5.35,133,5225,4445,711,1192,166,20,169,667,99.0,55.0,598,911,0.268,0.363,0.429,0.791,1905,109,76,77,29,14.0
2001,Kia Tigers,26.5,5.14,133,5189,4542,683,1263,221,17,142,637,92.0,63.0,497,774,0.278,0.353,0.428,0.781,1944,129,56,51,43,21.0
2001,LG Twins,27.9,5.03,133,5318,4521,669,1247,219,24,85,630,96.0,58.0,590,759,0.276,0.363,0.391,0.754,1769,100,52,114,41,24.0
2001,Hanwha Eagles,28.1,4.95,133,5259,4556,659,1255,211,15,148,628,135.0,65.0,549,877,0.276,0.357,0.426,0.783,1940,106,45,75,34,28.0
2001,SK Wyverns,27.2,4.48,133,5076,4400,596,1143,215,11,113,555,123.0,59.0,457,770,0.26,0.337,0.391,0.728,1719,95,71,122,26,23.0
2000,Hyundai Unicorns,28.1,5.84,133,5243,4481,777,1245,246,25,208,736,,,548,905,0.278,0.365,0.483,0.848,2165,89,94,74,46,
2000,Samsung Lions,27.9,5.22,133,4904,4276,694,1149,227,14,157,651,,,463,888,0.269,0.348,0.439,0.787,1875,84,78,47,40,
2000,Doosan Bears,26.9,5.22,133,5213,4590,694,1325,205,21,150,661,,,475,684,0.289,0.359,0.441,0.8,2022,120,58,43,47,
2000,LG Twins,27.3,5.01,133,5094,4379,666,1191,219,22,107,604,,,533,764,0.272,0.355,0.405,0.76,1775,89,55,84,43,
2000,Hanwha Eagles,28.3,4.93,133,4992,4425,656,1224,257,14,172,628,,,419,959,0.277,0.345,0.458,0.802,2025,125,62,45,41,
2000,Lotte Giants,28.1,4.53,133,5178,4557,603,1186,206,26,104,553,,,449,831,0.26,0.334,0.385,0.719,1756,93,66,82,24,
2000,Haitai Tigers,25.8,4.09,133,4818,4198,544,1068,199,13,82,512,,,492,789,0.254,0.336,0.367,0.703,1539,94,40,57,31,
2000,SK Wyverns,27.7,4.08,133,4586,4042,542,1059,177,22,89,496,,,378,767,0.262,0.333,0.383,0.715,1547,94,66,67,33,
